Date,s1,s2,s3,s4,s5,s6,s7,s8,pca_1,pca_2,pca_3,pca_4,labelrock,labelpaper,labelscissors,labelok
2019-06-06 12:06:05.000000000,0.85,-1.675,-1.9,-2.1,-2.8,-2.5,-13.925,-3.025,0.272317321856472,0.149376468434569,0.122274772960174,0.199279525800386,1,0,0,0
2019-06-06 12:06:05.000124931,2.025,-0.375,-0.05,0.9,6,2.525,-3.1,0.55,-0.282459539532968,-0.079752759704232,0.020024356673373,0.134332919860023,1,0,0,0
2019-06-06 12:06:05.000250101,-1.8,-1.025,-0.775,-0.325,-0.5,-1.675,-1.3,1,0.031305905030947,-0.02404946118295,-0.050282395932125,-0.045465926952069,1,0,0,0
2019-06-06 12:06:05.000375032,2.075,-0.8,-1.075,-1.55,-1.25,-1.075,-2.1,-0.05,0.064198797533743,0.012536377872739,0.156879786522493,-0.002830159053339,1,0,0,0
2019-06-06 12:06:05.000499964,-4.425,-0.6,-0.9,-2.775,-0.85,-0.2,3.125,-1.575,0.079924252934853,0.145731375217914,-0.045117463992753,-0.128327496409243,1,0,0,0
2019-06-06 12:06:05.000624895,2.075,-0.6,-0.325,1.1,-2.3,-2.125,-4.9,-1.9,0.022496367261164,-0.20544473024162,0.004550841874639,0.105040747198033,1,0,0,0
2019-06-06 12:06:05.000750065,-6.825,-0.425,0.075,0.35,0.2,0.725,2.075,0.625,-0.092386201779449,-0.056900333939231,-0.295937288620039,-0.10498331679314,1,0,0,0
2019-06-06 12:06:05.000874996,-2.875,-0.5,-0.15,3.325,2.075,1.675,-11.2,1.425,-0.184804252949425,-0.168682846465128,-0.273535306437936,0.195309999749864,1,0,0,0
2019-06-06 12:06:05.000999928,6.4,0.525,-0.075,0.6,1.15,-0.025,9.375,7.025,-0.244453915201612,-0.275726589798507,0.262587871615552,-0.209689365199569,1,0,0,0
2019-06-06 12:06:05.001125097,0.6,-0.925,-0.2,-2.55,0.05,1.2,-22.225,0.025,0.072143915069808,0.054372689569467,0.058351064826381,0.368763750423416,1,0,0,0
2019-06-06 12:06:05.001250029,-0.775,-1.025,-0.725,-0.35,-1.65,-0.3,0.6,0.5,0.002670924200443,-0.040657480127416,-0.011480253525727,-0.071767256158731,1,0,0,0
2019-06-06 12:06:05.001374960,2.125,-1.075,-1.225,-0.825,-1.2,2.725,-0.25,-0.125,-0.05456304158216,0.043009497721554,0.137709461677252,-0.027013716517742,1,0,0,0
2019-06-06 12:06:05.001499891,5.55,-0.975,-1.75,-1.45,-0.3,-0.475,-0.675,-0.85,0.040135099236623,0.059879609144898,0.315598304720452,0.01176437148736,1,0,0,0
2019-06-06 12:06:05.001625061,2.875,-1.075,-0.825,-2.475,-0.975,-0.475,-10.775,-1.35,0.102524243707663,0.050052650679405,0.185634515557194,0.179942882966481,1,0,0,0
2019-06-06 12:06:05.001749992,0.1,-0.575,-0.9,-0.825,2.55,3.3,-4.3,-0.725,-0.122412488665303,0.089224703728216,0.042988514277783,0.088683796593755,1,0,0,0
